City,Day,FirstTeam,FirstToBat,Month,Result,SecondTeam,Venue,Winner,Year
Dunedin,17,New Zealand,1,2,0,Scotland,University Oval,0,2015
Ranchi,16,India,1,11,0,Sri Lanka,JSCA International Stadium Complex,0,2014
Benoni,8,Canada,0,4,0,Scotland,Willowmoore Park,0,2009
Trinidad,12,West Indies,1,4,0,Sri Lanka,"Queen's Park Oval, Port of Spain",0,2008
Napier,3,New Zealand,1,3,0,India,McLean Park,1,2009
Canberra,20,Australia,0,1,0,India,Manuka Oval,0,2016
Mirpur,10,Bangladesh,0,7,0,South Africa,Shere Bangla National Stadium,1,2015
Barbados,17,England,0,4,0,South Africa,"Kensington Oval, Bridgetown",1,2007
Auckland,23,New Zealand,0,2,0,England,Eden Park,1,2013
London,11,India,1,6,0,West Indies,Kennington Oval,0,2013
Brisbane,19,Australia,1,1,0,England,"Brisbane Cricket Ground, Woolloongabba",0,2007
Durban,7,South Africa,1,2,0,Pakistan,Kingsmead,1,2007
Auckland,26,New Zealand,0,12,0,West Indies,Eden Park,1,2013
London,22,England,0,5,0,Sri Lanka,Kennington Oval,0,2014
Abu Dhabi,9,New Zealand,0,11,0,Pakistan,Sheikh Zayed Stadium,0,2009
Colombo,20,Sri Lanka,0,7,0,Bangladesh,P Saravanamuttu Stadium,0,2007
Durban,22,South Africa,0,11,0,India,Kingsmead,0,2006
Colombo,24,Sri Lanka,1,8,0,India,R Premadasa Stadium,1,2008
Cuttack,21,India,1,12,0,Sri Lanka,Barabati Stadium,0,2009
Grenada,20,West Indies,1,8,0,Bangladesh,"National Cricket Stadium, St George's",0,2014
Mirpur,14,Bangladesh,0,3,0,South Africa,Shere Bangla National Stadium,1,2008
Birmingham,12,Australia,0,6,2,New Zealand,Edgbaston,0,2013
Kolkata,25,India,0,10,0,England,Eden Gardens,0,2011
Jaipur,21,India,0,2,0,South Africa,Sawai Mansingh Stadium,0,2010
Mirpur,13,India,0,1,0,Sri Lanka,Shere Bangla National Stadium,1,2010
Mirpur,4,Bangladesh,0,1,0,Sri Lanka,Shere Bangla National Stadium,1,2010
Manchester,27,England,1,6,0,Australia,Old Trafford,0,2010
Chandigarh,27,Pakistan,1,10,0,South Africa,"Punjab Cricket Association Stadium, Mohali",1,2006
Wellington,12,South Africa,0,3,0,United Arab Emirates,Westpac Stadium,0,2015
Mirpur,8,Bangladesh,1,12,0,Zimbabwe,Shere Bangla National Stadium,0,2006
Colombo,19,Sri Lanka,1,7,0,Pakistan,R Premadasa Stadium,1,2015
Brisbane,22,Australia,1,1,0,Pakistan,"Brisbane Cricket Ground, Woolloongabba",0,2010
Skating and Curling Club,6,Canada,1,9,0,Ireland,Toronto Cricket,0,2010
Port Elizabeth,29,South Africa,0,11,0,England,St George's Park,1,2009
Margao,14,India,1,2,0,Sri Lanka,"Nehru Stadium, Fatorda",0,2007
Christchurch,30,Kenya,0,1,0,Scotland,Hagley Oval,1,2014
Trinidad,23,India,1,3,0,Sri Lanka,"Queen's Park Oval, Port of Spain",1,2007
Dunedin,23,New Zealand,0,1,0,Sri Lanka,University Oval,0,2015
Grenada,10,West Indies,1,4,0,South Africa,"National Cricket Stadium, St George's",1,2007
Bulawayo,21,Zimbabwe,0,8,0,South Africa,Queens Sports Club,1,2014
Hobart,18,Australia,0,1,0,South Africa,Bellerive Oval,0,2009
Colombo,8,Sri Lanka,0,2,0,India,R Premadasa Stadium,0,2009
Hamilton,3,New Zealand,1,2,0,Pakistan,Seddon Park,1,2011
Fatullah,3,Bangladesh,1,11,0,New Zealand,Khan Shaheb Osman Ali Stadium,0,2013
St Lucia,18,Canada,1,3,0,England,"Beausejour Stadium, Gros Islet",1,2007
Mirpur,10,Bangladesh,0,5,0,India,Shere Bangla National Stadium,1,2007
Hobart,14,Australia,0,1,0,New Zealand,Bellerive Oval,0,2007
Abu Dhabi,15,England,0,2,0,Pakistan,Sheikh Zayed Stadium,0,2012
Chennai,30,India,0,12,0,Pakistan,"MA Chidambaram Stadium, Chepauk",1,2012
St Lucia,23,West Indies,0,4,0,Pakistan,"Beausejour Stadium, Gros Islet",1,2011
London,3,England,1,7,0,Australia,Lord's,1,2010
London,7,Pakistan,0,6,0,West Indies,Kennington Oval,1,2013
Nelson,16,Ireland,1,2,0,West Indies,Saxton Oval,0,2015
Wellington,7,New Zealand,1,1,0,West Indies,Westpac Stadium,0,2009
Ayr,12,Scotland,1,8,2,Kenya,Cambusdoon New Ground,0,2008
London,20,England,1,6,0,Sri Lanka,Kennington Oval,1,2006
Southampton,21,England,0,8,0,India,The Rose Bowl,0,2007
Auckland,6,New Zealand,1,1,0,Sri Lanka,Eden Park,1,2007
Chandigarh,29,India,0,10,0,Australia,"Punjab Cricket Association Stadium, Mohali",1,2006
Mirpur,10,India,1,1,0,Sri Lanka,Shere Bangla National Stadium,0,2010
Delhi,28,Netherlands,1,2,0,West Indies,Feroz Shah Kotla,1,2011
London,30,England,1,6,0,Australia,Kennington Oval,1,2010
Dublin,6,Ireland,1,5,0,Sri Lanka,Clontarf Cricket Club Ground,1,2014
Mirpur,11,Bangladesh,0,11,0,Zimbabwe,Shere Bangla National Stadium,0,2015
Colombo,19,Australia,0,3,0,Pakistan,R Premadasa Stadium,1,2011
Delhi,7,Canada,1,3,0,Kenya,Feroz Shah Kotla,0,2011
Auckland,24,New Zealand,1,3,0,South Africa,Eden Park,0,2015
St Lucia,15,West Indies,1,4,2,Sri Lanka,"Beausejour Stadium, Gros Islet",0,2008
