City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
10,2,8,4,1,82,1,0,12,12,76,19,0,2007
65,26,22,12,0,72,7,0,6,29,70,17,0,2015
1,7,13,1,0,76,1,0,11,17,1,1,1,2010
5,31,5,10,1,56,8,0,5,12,27,9,0,2012
39,14,15,11,1,56,10,0,3,25,77,4,1,2007
11,1,2,3,1,11,5,0,6,34,11,15,0,2009
19,5,18,12,1,62,2,0,11,26,40,9,1,2009
44,19,7,4,0,45,1,0,11,21,46,10,0,2014
47,10,24,19,1,63,6,0,20,34,50,7,1,2007
23,26,24,12,0,60,6,0,8,34,23,10,0,2008
1,17,16,1,1,82,2,0,12,18,1,1,1,2014
3,24,24,6,0,68,6,0,15,32,3,16,0,2008
16,6,3,3,0,29,2,0,10,23,16,33,0,2011
17,29,15,14,0,86,7,0,18,17,17,15,1,2008
14,15,19,3,1,67,1,0,11,25,14,14,0,2016
38,16,12,10,1,87,9,0,11,14,39,14,0,2011
26,17,16,6,1,45,10,0,12,28,26,7,0,2006
8,16,15,10,1,65,1,0,4,22,8,11,0,2007
1,8,12,1,0,66,1,0,12,19,1,1,1,2010
17,23,2,13,1,67,5,1,6,6,17,23,0,2013
13,21,23,7,0,73,4,0,10,28,13,20,1,2007
32,30,20,3,0,66,8,0,1,27,33,11,0,2008
38,16,10,10,0,84,6,0,4,12,39,18,0,2013
1,15,25,1,0,55,6,0,11,32,1,1,1,2014
13,27,24,7,1,91,3,0,10,26,13,25,0,2009
38,24,13,10,1,80,6,0,3,17,39,13,0,2010
2,14,22,12,1,63,10,0,7,30,2,3,0,2006
44,8,9,4,1,40,3,0,9,22,46,17,0,2015
57,26,14,1,0,43,2,0,11,25,61,2,1,2014
68,20,18,11,1,75,11,0,10,22,78,2,0,2008
37,9,14,4,0,61,3,0,3,19,38,6,1,2010
18,14,24,7,1,89,7,0,6,26,18,5,1,2013
5,1,9,10,1,67,7,0,3,14,27,20,0,2012
38,20,13,11,1,88,6,0,12,16,39,14,0,2013
49,17,10,5,1,45,1,0,12,24,72,9,0,2012
5,11,12,10,1,75,9,1,11,18,5,19,0,2011
65,3,23,12,0,85,12,0,10,28,70,8,1,2014
33,20,24,17,1,73,3,0,2,30,34,20,1,2011
60,29,19,11,1,73,9,2,3,24,64,15,0,2007
1,31,19,1,1,59,10,0,2,27,1,1,0,2009
9,5,23,7,1,72,7,0,4,30,9,7,0,2012
16,4,11,3,0,42,3,0,9,25,16,19,0,2015
1,8,9,6,0,34,3,0,12,22,1,2,1,2014
26,13,14,1,0,39,10,0,2,26,26,7,0,2006
69,5,8,4,0,51,1,0,12,16,79,8,0,2016
7,25,16,5,0,65,1,0,7,22,7,19,0,2008
25,12,22,7,1,69,3,0,2,28,25,14,0,2010
19,12,23,12,0,76,9,0,11,28,40,10,0,2009
36,8,-5,2,1,22,9,0,6,18,37,11,1,2011
20,22,12,10,0,79,9,0,6,13,20,7,0,2010
9,21,22,6,0,70,3,0,2,28,9,10,0,2007
29,7,16,6,0,79,3,0,5,22,30,14,0,2015
66,14,22,11,0,78,9,0,7,26,73,3,1,2006
14,20,19,10,1,72,1,0,11,24,14,14,0,2015
48,29,24,7,0,82,6,0,3,27,51,13,1,2008
8,23,11,3,1,57,1,0,10,20,8,12,0,2015
33,24,11,11,1,67,12,0,12,18,34,2,0,2009
