City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
Mirpur,19,26,Bangladesh,1,80,6,2,India,30,Shere Bangla National Stadium,1,0,2014
Dunedin,22,13,Afghanistan,0,85,2,0,Sri Lanka,16,University Oval,5,1,2015
Hobart,21,12,Australia,0,65,1,0,England,19,Bellerive Oval,18,0,2011
Hamilton,17,13,New Zealand,1,57,2,0,England,20,Seddon Park,15,0,2013
Toronto,19,17,Canada,1,71,8,0,Kenya,22,Maple Leaf North-West Ground,11,0,2009
Dominica,26,21,West Indies,1,66,7,0,Bangladesh,26,"Windsor Park, Roseau",8,1,2009
St Lucia,21,24,West Indies,0,76,7,0,Pakistan,28,"Beausejour Stadium, Gros Islet",13,1,2013
Colombo,28,23,Sri Lanka,0,73,7,0,India,28,R Premadasa Stadium,15,1,2012
Antigua,4,18,England,1,65,4,0,Sri Lanka,24,"Sir Vivian Richards Stadium, North Sound",7,1,2007
Southampton,6,13,England,1,88,9,0,India,15,The Rose Bowl,31,0,2011
Paarl,19,15,South Africa,0,57,1,0,New Zealand,24,Boland Park,25,1,2013
Mirpur,19,21,Bangladesh,1,68,4,0,Pakistan,24,Shere Bangla National Stadium,4,0,2015
Mumbai,17,19,India,1,55,10,0,Australia,28,Wankhede Stadium,4,0,2007
Hambantota,12,23,Sri Lanka,0,85,11,0,New Zealand,27,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",5,1,2013
Christchurch,8,9,New Zealand,1,63,3,0,India,18,AMI Stadium,9,1,2009
Brisbane,17,17,Australia,1,60,1,0,England,26,"Brisbane Cricket Ground, Woolloongabba",13,0,2014
St Kitts,11,23,West Indies,1,72,7,0,New Zealand,28,"Warner Park, Basseterre",19,1,2012
Hobart,14,5,Australia,1,54,3,0,Scotland,15,Bellerive Oval,20,0,2015
Bulawayo,28,7,Zimbabwe,1,36,5,0,India,16,Queens Sports Club,12,0,2010
Dubai,8,13,Afghanistan,1,65,1,0,Scotland,22,ICC Academy,9,0,2015
Hamilton,11,10,New Zealand,0,58,3,0,India,18,Seddon Park,27,1,2009
Birmingham,8,8,England,0,75,6,0,Australia,12,Edgbaston,14,0,2013
Mirpur,14,16,Bangladesh,1,82,1,0,Sri Lanka,18,Shere Bangla National Stadium,1,0,2009
Canberra,18,13,Afghanistan,1,61,2,0,Bangladesh,21,Manuka Oval,11,1,2015
Belfast,13,12,Netherlands,1,91,7,2,Scotland,14,"Civil Service Cricket Club, Stormont",9,0,2007
Dublin,17,13,Ireland,1,81,6,0,Australia,16,Clontarf Cricket Club Ground,8,1,2010
Ayr,17,12,Scotland,1,83,8,0,Afghanistan,15,Cambusdoon New Ground,14,0,2010
Abu Dhabi,13,13,England,0,68,2,0,Pakistan,19,Sheikh Zayed Stadium,9,0,2012
Christchurch,11,13,New Zealand,1,94,2,0,Bangladesh,14,AMI Stadium,10,0,2010
Kimberley,22,9,South Africa,1,35,1,0,New Zealand,24,De Beers Diamond Oval,19,1,2013
Grenada,18,24,Ireland,0,80,4,0,Sri Lanka,28,"National Cricket Stadium, St George's",25,1,2007
Mirpur,31,18,Bangladesh,0,63,10,0,New Zealand,25,Shere Bangla National Stadium,0,0,2013
Wellington,16,11,New Zealand,1,75,2,0,Australia,16,Westpac Stadium,18,0,2007
Brisbane,19,21,Australia,0,77,2,0,India,24,"Brisbane Cricket Ground, Woolloongabba",10,0,2012
Manchester,30,12,England,1,83,8,0,India,15,Old Trafford,14,0,2007
St Lucia,3,21,West Indies,1,80,4,0,England,25,"Beausejour Stadium, Gros Islet",9,1,2009
Port Elizabeth,9,19,South Africa,1,77,2,2,Pakistan,24,St George's Park,12,0,2007
Lahore,25,23,Bangladesh,1,60,6,0,Sri Lanka,32,Gaddafi Stadium,11,1,2008
Mirpur,11,22,Bangladesh,1,68,10,0,New Zealand,28,Shere Bangla National Stadium,1,0,2010
Mirpur,11,13,Bangladesh,1,46,3,0,Pakistan,21,Shere Bangla National Stadium,1,1,2012
Abu Dhabi,25,4,Pakistan,1,42,12,0,Sri Lanka,18,Sheikh Zayed Stadium,12,0,2013
Paarl,11,17,South Africa,0,69,1,0,Sri Lanka,24,Boland Park,13,0,2012
Bloemfontein,10,10,South Africa,0,55,3,0,Pakistan,20,Chevrolet Park,11,0,2013
Ahmedabad,8,20,West Indies,1,59,10,0,Zimbabwe,28,"Sardar Patel Stadium, Motera",7,0,2006
Leeds,1,7,England,1,69,7,0,Sri Lanka,12,Headingley,12,1,2011
Trinidad,6,24,West Indies,0,80,6,0,India,29,"Queen's Park Oval, Port of Spain",7,1,2011
Mirpur,17,22,Bangladesh,0,53,4,0,Pakistan,30,Shere Bangla National Stadium,2,0,2015
Lahore,24,21,Bangladesh,0,54,6,0,United Arab Emirates,32,Gaddafi Stadium,9,0,2008
Kuala Lumpur,2,25,Afghanistan,0,81,5,0,United Arab Emirates,29,Kinrara Academy Oval,4,0,2014
Trinidad,25,23,Bangladesh,1,88,3,0,Bermuda,26,"Queen's Park Oval, Port of Spain",7,0,2007
Mirpur,3,14,Bangladesh,1,58,12,0,Pakistan,19,Shere Bangla National Stadium,0,1,2011
Bulawayo,1,6,Zimbabwe,0,60,8,0,India,12,Queens Sports Club,21,1,2013
