Venue,Stadium Win Rate,FirstToBat,Home Field Advantage,SecondTeam,WinLose ratio bat or bowl first against team,Year,DewPoint,Humidity,WindSpeed,Temp,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Winner
Headingley,0.5,1,0,England,1.75,2014,12,82,5,16,B Kumar,Mohammed Shami,AM Rahane,AT Rayudu,MS Dhoni,V Kohli,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,SK Raina,AD Hales,CR Woakes,JE Root,JC Buttler,JC Tredwell,ST Finn,EJG Morgan,MM Ali,JM Anderson,AN Cook,BA Stokes,1
Holkar Cricket Stadium,1,0,1,South Africa,2.33,2015,12,29,8,27,B Kumar,SK Raina,AM Rahane,MS Dhoni,V Kohli,MM Sharma,AR Patel,RG Sharma,S Dhawan,Harbhajan Singh,UT Yadav,DW Steyn,Imran Tahir,DA Miller,JP Duminy,M Morkel,K Rabada,AB de Villiers,F Behardien,Q de Kock,HM Amla,F du Plessis,0
Holkar Cricket Stadium,1,0,1,West Indies,1.22,2011,12,44,7,24,R Sharma,SK Raina,R Vinay Kumar,V Sehwag,V Kohli,G Gambhir,RG Sharma,RA Jadeja,PA Patel,R Ashwin,A Mithun,R Rampaul,DJG Sammy,DP Hyatt,KOA Powell,MN Samuels,D Ramdin,SP Narine,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,0
Indian Petrochemicals Corporation Limited Sports Complex Ground,0.5,0,1,West Indies,1.22,2007,16.67,66.4,9,23.3,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,R Dravid,Z Khan,RV Uthappa,SC Ganguly,Harbhajan Singh,A Kumble,IK Pathan,DS Smith,RR Emrit,S Chanderpaul,CH Gayle,D Ramdin,BC Lara,LMP Simmons,DBL Powell,DR Smith,MN Samuels,IDR Bradshaw,0
JSCA International Stadium Complex,0.66,1,1,England,1.75,2013,14,61,6,20,B Kumar,Shami Ahmed,AM Rahane,MS Dhoni,I Sharma,V Kohli,G Gambhir,RA Jadeja,R Ashwin,SK Raina,Yuvraj Singh,C Kieswetter,KP Pietersen,JE Root,JW Dernbach,TT Bresnan,SR Patel,IR Bell,JC Tredwell,ST Finn,EJG Morgan,AN Cook,0
JSCA International Stadium Complex,0.66,1,1,Sri Lanka,1.9,2014,7,42,3,18,KM Jadhav,STR Binny,AM Rahane,AT Rayudu,V Kohli,AR Patel,RG Sharma,RV Uthappa,R Ashwin,KV Sharma,DS Kulkarni,RMS Eranga,BAW Mendis,DPMD Jayawardene,TM Dilshan,HDRL Thirimanne,N Dickwella,PLS Gamage,NLTC Perera,AD Mathews,LD Chandimal,S Prasanna,0
Kennington Oval,0.66,0,0,England,1.25,2011,16,84,12,18,RP Singh,SK Raina,AM Rahane,P Kumar,MS Dhoni,R Dravid,V Kohli,RA Jadeja,PA Patel,R Ashwin,MM Patel,SCJ Broad,AN Cook,BA Stokes,GP Swann,C Kieswetter,JW Dernbach,TT Bresnan,IJL Trott,IR Bell,RS Bopara,JM Anderson,1
Kennington Oval,0.66,1,0,England,1.75,2007,13,71,8,18,PP Chawla,Yuvraj Singh,SR Tendulkar,AB Agarkar,RR Powar,MS Dhoni,R Dravid,Z Khan,G Gambhir,RV Uthappa,SC Ganguly,OA Shah,AN Cook,KP Pietersen,SCJ Broad,MJ Prior,IR Bell,LJ Wright,PD Collingwood,JM Anderson,MS Panesar,AD Mascarenhas,0
Kennington Oval,0.66,1,0,West Indies,1.64,2013,11,81,12,13,B Kumar,,,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,R Rampaul,KA Pollard,DJG Sammy,DM Bravo,RR Sarwan,CH Gayle,SP Narine,KAJ Roach,DJ Bravo,J Charles,MN Samuels,0
Khan Shaheb Osman Ali Stadium,0,0,0,Sri Lanka,1.4,2014,14,52,3,20,AT Rayudu,STR Binny,AM Rahane,B Kumar,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,Mohammed Shami,MDKJ Perera,LD Chandimal,DPMD Jayawardene,HDRL Thirimanne,SL Malinga,KC Sangakkara,NLTC Perera,SMSM Senanayake,AD Mathews,BAW Mendis,PC de Silva,1
Khan Shaheb Osman Ali Stadium,0,1,0,Bangladesh,3.2,2014,14,43,2,25,B Kumar,Mohammed Shami,AM Rahane,AT Rayudu,VR Aaron,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,RA Jadeja,Mashrafe Mortaza,Anamul Haque,Shamsur Rahman,Mushfiqur Rahim,Naeem Islam,Ziaur Rahman,Rubel Hossain,Abdur Razzak,Mominul Haque,Sohag Gazi,Nasir Hossain,0
Kingsmead,0,1,0,South Africa,0.666,2013,17,79,10,20,MS Dhoni,Mohammed Shami,AM Rahane,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,SK Raina,DW Steyn,VD Philander,DA Miller,JP Duminy,AB de Villiers,LL Tsotsobe,M Morkel,JH Kallis,Q de Kock,R McLaren,HM Amla,1
Kingsmead,0,1,0,South Africa,0.666,2011,20,81,8,24,MS Dhoni,SR Tendulkar,M Vijay,A Nehra,Z Khan,V Kohli,RG Sharma,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,DW Steyn,GC Smith,DA Miller,AB de Villiers,JP Duminy,M Morkel,LL Tsotsobe,J Botha,CA Ingram,WD Parnell,HM Amla,1
Kinrara Academy Oval,0.25,0,0,West Indies,1.22,2006,22,78,3,26,AB Agarkar,SK Raina,SR Tendulkar,RP Singh,MS Dhoni,V Sehwag,R Dravid,Harbhajan Singh,M Kaif,MM Patel,IK Pathan,CH Gayle,,,BC Lara,FH Edwards,DR Smith,DJ Bravo,RR Sarwan,IDR Bradshaw,JE Taylor,S Chanderpaul,1
Kinrara Academy Oval,0.25,0,0,West Indies,1.22,2006,23,75,7,28,AB Agarkar,SR Tendulkar,S Sreesanth,RP Singh,MS Dhoni,V Sehwag,R Dravid,Harbhajan Singh,MM Patel,SK Raina,Yuvraj Singh,RR Sarwan,MN Samuels,S Chanderpaul,CH Gayle,BC Lara,CD Collymore,RS Morton,DR Smith,WW Hinds,CS Baugh,DJ Bravo,0
Lord's,0,0,0,England,1.25,2007,12,76,7,16,PP Chawla,Yuvraj Singh,SR Tendulkar,RP Singh,RR Powar,MS Dhoni,R Dravid,G Gambhir,Z Khan,RV Uthappa,SC Ganguly,SCJ Broad,KP Pietersen,,MJ Prior,LJ Wright,IR Bell,A Flintoff,PD Collingwood,JM Anderson,MS Panesar,AD Mascarenhas,1
M Chinnaswamy Stadium,0.6666666667,1,1,New Zealand,1.66,2010,16.67,66.4,9,23.3,P Kumar,YK Pathan,Yuvraj Singh,A Nehra,Z Khan,G Gambhir,V Kohli,RG Sharma,SS Tiwary,R Ashwin,PA Patel,NL McCullum,BB McCullum,TG Southee,AJ McKay,LRPL Taylor,KD Mills,MJ Guptill,SB Styris,JEC Franklin,DL Vettori,JM How,0
"MA Chidambaram Stadium, Chepauk",0.6666666667,0,1,Pakistan,1.25,2012,25,86,5,26,B Kumar,Yuvraj Singh,AB Dinda,MS Dhoni,V Sehwag,V Kohli,G Gambhir,I Sharma,RG Sharma,R Ashwin,SK Raina,Saeed Ajmal,Misbah-ul-Haq,,Younis Khan,Nasir Jamshed,Umar Gul,Junaid Khan,Mohammad Hafeez,Azhar Ali,Shoaib Malik,Mohammad Irfan,1
"MA Chidambaram Stadium, Chepauk",0.6666666667,0,1,South Africa,2.33,2015,22,70,5,28,B Kumar,SK Raina,AM Rahane,A Mishra,MS Dhoni,V Kohli,MM Sharma,AR Patel,RG Sharma,S Dhawan,Harbhajan Singh,DW Steyn,Imran Tahir,DA Miller,AB de Villiers,K Rabada,AM Phangiso,F du Plessis,F Behardien,Q de Kock,HM Amla,CH Morris,0
"MA Chidambaram Stadium, Chepauk",0.6666666667,0,1,West Indies,1.22,2011,23,76,8,27,MS Dhoni,SR Tendulkar,YK Pathan,V Kohli,G Gambhir,Z Khan,Harbhajan Singh,R Ashwin,MM Patel,SK Raina,Yuvraj Singh,R Rampaul,KA Pollard,DJG Sammy,DS Smith,DM Bravo,SJ Benn,RR Sarwan,DC Thomas,AD Russell,KA Edwards,D Bishoo,0
"MA Chidambaram Stadium, Chepauk",0.6666666667,0,1,West Indies,1.22,2011,23,80,4,27,R Sharma,IK Pathan,AM Rahane,V Kohli,G Gambhir,RG Sharma,A Mithun,PA Patel,RA Jadeja,MK Tiwary,SK Raina,KOA Powell,A Martin,DJG Sammy,KA Pollard,D Ramdin,SP Narine,LMP Simmons,KAJ Roach,AD Russell,JN Mohammed,MN Samuels,0
"MA Chidambaram Stadium, Chepauk",0.6666666667,0,1,West Indies,1.22,2007,21,75,4,26,AB Agarkar,SR Tendulkar,S Sreesanth,RR Powar,R Dravid,G Gambhir,RV Uthappa,KD Karthik,A Kumble,SK Raina,Yuvraj Singh,DS Smith,MN Samuels,JE Taylor,CH Gayle,D Ramdin,BC Lara,RS Morton,LMP Simmons,DBL Powell,DJ Bravo,RR Emrit,1
"MA Chidambaram Stadium, Chepauk",0.6666666667,1,1,New Zealand,1.66,2010,25,91,4,26,P Kumar,,,A Nehra,G Gambhir,V Kohli,R Ashwin,PA Patel,MM Patel,YK Pathan,Yuvraj Singh,NL McCullum,BB McCullum,TG Southee,LRPL Taylor,KD Mills,MJ Guptill,SB Styris,JEC Franklin,DL Vettori,JM How,GD Elliott,0
Madhavrao Scindia Cricket Ground,0.6666666667,0,1,England,1.25,2008,12,39,5,26,RP Singh,Yuvraj Singh,SK Raina,MS Dhoni,V Sehwag,G Gambhir,Z Khan,RG Sharma,Harbhajan Singh,MM Patel,YK Pathan,OA Shah,KP Pietersen,SR Patel,SCJ Broad,MJ Prior,IR Bell,SJ Harmison,RS Bopara,A Flintoff,PD Collingwood,JM Anderson,0
Madhavrao Scindia Cricket Ground,0.6666666667,0,1,Sri Lanka,1.4,2009,11,37,5,22,P Kumar,SK Raina,SR Tendulkar,MS Dhoni,V Sehwag,V Kohli,G Gambhir,A Nehra,Z Khan,Harbhajan Singh,RA Jadeja,TT Samaraweera,AD Mathews,DPMD Jayawardene,SHT Kandamby,KMDN Kulasekara,TM Dilshan,UWMBCA Welegedara,ST Jayasuriya,WU Tharanga,KC Sangakkara,CRD Fernando,0
Madhavrao Scindia Cricket Ground,0.6666666667,1,1,Sri Lanka,1.9,2007,15,60,13,22,SR Tendulkar,A Kumble,S Sreesanth,MS Dhoni,R Dravid,V Sehwag,RV Uthappa,KD Karthik,SC Ganguly,Harbhajan Singh,MM Patel,RP Arnold,MS Atapattu,DPMD Jayawardene,KMDN Kulasekara,TM Dilshan,HMCM Bandara,SL Malinga,ST Jayasuriya,WU Tharanga,KC Sangakkara,MF Maharoof,1
Maharashtra Cricket Association Stadium,0,1,1,Australia,0.6,2013,20,74,3,25,B Kumar,Yuvraj Singh,R Vinay Kumar,MS Dhoni,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,GJ Maxwell,SR Watson,MG Johnson,JP Faulkner,CJ McKay,GJ Bailey,AJ Finch,BJ Haddin,XJ Doherty,AC Voges,PJ Hughes,1
Manuka Oval,0,1,0,Australia,0.6,2016,8,37,10,25,B Kumar,RA Jadeja,AM Rahane,R Dhawan,MS Dhoni,I Sharma,V Kohli,Gurkeerat Singh,RG Sharma,S Dhawan,UT Yadav,GJ Maxwell,NM Lyon,KW Richardson,DA Warner,JP Faulkner,SPD Smith,MR Marsh,GJ Bailey,AJ Finch,MS Wade,JW Hastings,1
